mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000103468.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096820.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095508.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100231.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267553	0	0.315523	0.132491	0	0	0.541978	0	0
ENSMUSG00000094325.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095950.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101396.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165053	0	0	0	0
ENSMUSG00000095242.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094679.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101053.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095324.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094081.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094484.4	0.101312	0.463185	0.274953	0.609512	0.091698	0.52829	0.992848	0.311622	0.108401	0.375712	0.295551	0.432598	0.219537	0.300437	0.112264	0.330808	0.166874	0.693368	0.337615	0.564067	0.242013	0.733656
ENSMUSG00000079806.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101243.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095148.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096036.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100634.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096706.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101667.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102053.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069044.7	0	0	0	0	0	0	0	0	0	0	0.054837	0	0	0	0	0	0	0	0	0	0	0.016005
ENSMUSG00000056673.15	0.136544	0.091468	0.08086	0.076344	0.105302	0.076766	0.099782	0.118083	0.035811	0.080454	0.278387	0.422473	17.5707	23.3108	17.5005	22.165	16.316	19.4467	16.9984	20.0111	0.060633	0.071489
ENSMUSG00000069053.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024966	0.039044	0	0.033766	0	0.038646
ENSMUSG00000093806.5	0	0.285309	0.12238	0.275558	0	0	0	0	0	0.179448	0.58833	0	0.046112	0.055748	0	0.175825	0.222247	0.260748	0	0.150641	0	0.17222
ENSMUSG00000121606.1	32.0049	42.3483	34.9831	41.3926	35.0297	37.7952	33.5063	33.7008	34.9512	39.7422	34.6074	36.3164	36.6809	35.3159	38.4109	39.677	34.3456	36.931	36.7684	36.0656	38.4391	39.4891
ENSMUSG00000121607.1	6.33122	8.41407	7.88717	8.15693	7.40485	9.8578	10.317	10.8174	7.04298	9.75601	6.61354	7.83598	7.90069	9.58781	8.52522	9.9055	8.46187	9.55435	8.22244	8.33793	8.52318	9.89108
ENSMUSG00000121608.1	66.2233	92.1969	62.0483	113.997	46.0761	170.482	60.3157	82.118	63.0548	129.542	49.2934	143.954	40.4607	103.781	41.0551	110.537	57.7775	122.716	60.0432	115.207	48.3872	95.5856
ENSMUSG00000031352.11	18.4282	20.7873	18.1011	17.6771	18.5626	17.8641	17.0028	17.7036	19.5679	19.1425	14.8336	13.7606	22.9035	23.171	22.5453	23.2339	24.2511	19.303	20.4394	20.2101	15.296	16.2999
ENSMUSG00000031354.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127542	0	0	0	0	0	0	0	0
